Model,MAE,MSE,MeanTempError,MaxTempError,MaxRiseRateError,PeakError,BestEpoch,BestValLoss
Persistence,1.459667215352309,3.994103122965504,0.0047623457292986,10.90399992465973,3.23600006103516,2.1673720838814234,0,
Linear,1.6866311194536043,4.986579034425068,0.2285047156471681,12.40205260397111,3.8312852784089113,1.6534214025528935,2,0.1183468108547144
MLP,1.61146458198301,4.658007648851387,0.5281405980420718,10.177795902455449,2.6927410802772176,1.549907602750687,2,0.2226515233265751
CNN1D,2.261807067397952,7.570950665342459,-0.6237287088362153,9.583080048226842,2.7335081828022165,2.7280555935123947,4,0.1996943328197994
LSTM,1.3644703442659538,3.489795602952252,0.3530065285555407,10.568579677062887,2.826010688089552,1.300669162538506,5,0.0727255103964756
TCN,1.5170925487707416,4.245252819545034,0.6825726774877586,11.394069690390351,2.469316058342198,1.440944929996334,1,0.0896374668265784
