Model,MAE,MSE,MeanTempError,MaxTempError,MaxRiseRateError,PeakError,BestEpoch,BestValLoss
Persistence,1.459667215352309,3.994103122965503,0.004762345729298661,10.90399992465973,3.23600006103516,2.1673720838814234,0,
Linear,1.6198301315307617,4.469531059265137,-0.1993992030620575,12.127991676330566,2.819408416748047,1.5937405824661255,7,0.04481131886076048
CNN1D,2.150221824645996,7.759644985198975,0.5463611483573914,10.964385032653809,2.870406150817871,2.371734857559204,3,0.15485238360947576
LSTM,1.3541897535324097,3.476829767227173,0.0570949949324131,10.196643829345703,2.7127838134765625,1.3594380617141724,3,0.06016111441416652
TCN,1.5571215152740479,3.9249114990234375,-0.5582456588745117,9.774367332458496,2.637333869934082,1.5786616802215576,1,0.050575816924680016
