Model,MAE,MSE,MeanTempError,MaxTempError,MaxRiseRateError,PeakError,BestEpoch,BestValLoss
Persistence,1.459667,3.994103,0.004762,10.904,3.236,2.167372,0,
Linear,1.686631,4.986579,0.228505,12.402053,3.831285,1.653421,2,0.118347
MLP,1.611465,4.658008,0.528141,10.177796,2.692741,1.549908,2,0.222652
CNN1D,2.261807,7.570951,-0.623729,9.58308,2.733508,2.728056,4,0.199694
LSTM,1.36447,3.489796,0.353007,10.56858,2.826011,1.300669,5,0.072726
TCN,1.517093,4.245253,0.682573,11.39407,2.469316,1.440945,1,0.089637
